run_id,initialization,architecture,base_run_id,base_trained_task_count,seed,task,shots,evaluation_split,examples,supervised_tokens,loss,token_accuracy,sequence_accuracy,zero_shot_loss,zero_shot_token_accuracy,zero_shot_sequence_accuracy,loss_improvement_from_zero_shot,token_accuracy_improvement_from_zero_shot,sequence_accuracy_improvement_from_zero_shot,checkpoint_sha256,fewshot_config_sha256,support_artifact_sha256,test_manifest_sha256,evaluator_commit
pretrained-mlp-tasks01-seed17-to_reduced_word,pretrained,mlp,mlp-tasks01-seed17,1,17,to_reduced_word,5,test_shard_099,5000,790719,7.8791600396136694,0.025056941846597843,0,12.148689567362901,0.010408248695174897,0,4.2695295277492313,0.014648693151422946,0,26e2eb563e2468a548eb8b865e171de29fb2a6a7aefa5b4ed4e0e92276d768e1,f788f8d94c6b9914ed99002376f2e88474aa3654f79fbf3624656c25bd4ef5b5,2f40d0987604639945509b844a1f7fe1d0f7490415143673d149f8029ae6f622,3ca12e6b6eeb29fc0ddd441b9c44c80d7a160faaf7e832eb55007f4c6a3ab52b,4ede5c17ed7f6c27d752530849995d987175465e
pretrained-mlp-tasks01-seed17-compose,pretrained,mlp,mlp-tasks01-seed17,1,17,compose,5,test_shard_099,5000,169758,8.6959594752449529,0.019592596519751645,0,12.834305742402419,0.0096431390567749391,0,4.1383462671574662,0.0099494574629767057,0,6e7807dceaa7ddb74cb52f838af141959828900b5edb6e364929391e2fd75e19,f788f8d94c6b9914ed99002376f2e88474aa3654f79fbf3624656c25bd4ef5b5,2f40d0987604639945509b844a1f7fe1d0f7490415143673d149f8029ae6f622,3ca12e6b6eeb29fc0ddd441b9c44c80d7a160faaf7e832eb55007f4c6a3ab52b,4ede5c17ed7f6c27d752530849995d987175465e
pretrained-mlp-tasks01-seed17-parity,pretrained,mlp,mlp-tasks01-seed17,1,17,parity,5,test_shard_099,5000,10000,6.1457970306396481,0.53480000000000005,0.069599999999999995,6.9094206268310545,0.5343,0.068599999999999994,0.76362359619140641,0.00050000000000005596,0.0010000000000000009,a4aa9fcdc8c68bf139f9d9d72e3b3e744bd871e2e4e9e7a834e8a19d0e2f52d7,f788f8d94c6b9914ed99002376f2e88474aa3654f79fbf3624656c25bd4ef5b5,2f40d0987604639945509b844a1f7fe1d0f7490415143673d149f8029ae6f622,3ca12e6b6eeb29fc0ddd441b9c44c80d7a160faaf7e832eb55007f4c6a3ab52b,4ede5c17ed7f6c27d752530849995d987175465e
pretrained-mlp-tasks01-seed17-to_lehmer,pretrained,mlp,mlp-tasks01-seed17,1,17,to_lehmer,5,test_shard_099,5000,171258,9.9401087669878017,0.009406859825526399,0,15.106068254384466,0.0047297060575272392,0,5.1659594873966643,0.0046771537679991598,0,97cfcea7f5da4b031bfdfefe05be756c9042853847540f0cab1c4270ca2e4c24,f788f8d94c6b9914ed99002376f2e88474aa3654f79fbf3624656c25bd4ef5b5,2f40d0987604639945509b844a1f7fe1d0f7490415143673d149f8029ae6f622,3ca12e6b6eeb29fc0ddd441b9c44c80d7a160faaf7e832eb55007f4c6a3ab52b,4ede5c17ed7f6c27d752530849995d987175465e
pretrained-mlp-tasks01-seed42-to_reduced_word,pretrained,mlp,mlp-tasks01-seed42,1,42,to_reduced_word,5,test_shard_099,5000,790719,8.4338103219536187,0.024508074296937344,0,11.216033413398913,0.018239096316137592,0,2.7822230914452941,0.0062689779807997524,0,1e0078a980b25bb8c2e2a52ae6b7a493e9821720a6dd529595ddd1823d068a4c,f788f8d94c6b9914ed99002376f2e88474aa3654f79fbf3624656c25bd4ef5b5,2f40d0987604639945509b844a1f7fe1d0f7490415143673d149f8029ae6f622,3ca12e6b6eeb29fc0ddd441b9c44c80d7a160faaf7e832eb55007f4c6a3ab52b,4ede5c17ed7f6c27d752530849995d987175465e
pretrained-mlp-tasks01-seed42-compose,pretrained,mlp,mlp-tasks01-seed42,1,42,compose,5,test_shard_099,5000,169758,9.0081108336941416,0.020841433098881937,0,11.451067780356817,0.018673641301146338,0,2.4429569466626759,0.0021677917977355986,0,5a15f64b0c6d5c55f29f3b955ad7446f0edc5531ddeec7f3180372f6f218d61e,f788f8d94c6b9914ed99002376f2e88474aa3654f79fbf3624656c25bd4ef5b5,2f40d0987604639945509b844a1f7fe1d0f7490415143673d149f8029ae6f622,3ca12e6b6eeb29fc0ddd441b9c44c80d7a160faaf7e832eb55007f4c6a3ab52b,4ede5c17ed7f6c27d752530849995d987175465e
pretrained-mlp-tasks01-seed42-parity,pretrained,mlp,mlp-tasks01-seed42,1,42,parity,5,test_shard_099,5000,10000,5.8761909961700436,0.53449999999999998,0.069000000000000006,6.485611022949219,0.53420000000000001,0.068400000000000002,0.60942002677917539,0.00029999999999996696,0.00060000000000000331,4dceb5194105fdb6c8bbb509e30a37dba9dbf22c60f72da8785ad25296b97b4d,f788f8d94c6b9914ed99002376f2e88474aa3654f79fbf3624656c25bd4ef5b5,2f40d0987604639945509b844a1f7fe1d0f7490415143673d149f8029ae6f622,3ca12e6b6eeb29fc0ddd441b9c44c80d7a160faaf7e832eb55007f4c6a3ab52b,4ede5c17ed7f6c27d752530849995d987175465e
pretrained-mlp-tasks01-seed42-to_lehmer,pretrained,mlp,mlp-tasks01-seed42,1,42,to_lehmer,5,test_shard_099,5000,171258,9.4745348289842664,0.020524588632355862,0,13.52363498735278,0.015257681392986021,0,4.049100158368514,0.0052669072393698411,0,92a5990393d2f96cb3bbb9f8cdd3e784c58280a5034850de6a0085a004858886,f788f8d94c6b9914ed99002376f2e88474aa3654f79fbf3624656c25bd4ef5b5,2f40d0987604639945509b844a1f7fe1d0f7490415143673d149f8029ae6f622,3ca12e6b6eeb29fc0ddd441b9c44c80d7a160faaf7e832eb55007f4c6a3ab52b,4ede5c17ed7f6c27d752530849995d987175465e
pretrained-mlp-tasks01-seed314159-to_reduced_word,pretrained,mlp,mlp-tasks01-seed314159,1,314159,to_reduced_word,5,test_shard_099,5000,790719,8.5406188138530794,0.023326870860571201,0,11.139960810193001,0.022673035553717566,0,2.5993419963399216,0.0006538353068536347,0,7cda71c5234b0d1a3d36e2b47bdd57945757f39c2a88ab6717a8d5d6ff8951d4,f788f8d94c6b9914ed99002376f2e88474aa3654f79fbf3624656c25bd4ef5b5,2f40d0987604639945509b844a1f7fe1d0f7490415143673d149f8029ae6f622,3ca12e6b6eeb29fc0ddd441b9c44c80d7a160faaf7e832eb55007f4c6a3ab52b,4ede5c17ed7f6c27d752530849995d987175465e
pretrained-mlp-tasks01-seed314159-compose,pretrained,mlp,mlp-tasks01-seed314159,1,314159,compose,5,test_shard_099,5000,169758,9.3585266401634062,0.022655780581769341,0,11.94157629330245,0.022537965810153278,0,2.5830496531390441,0.00011781477161606352,0,0a0ab49197ae946373d8d48eb29ea1926b3335ddea0e03ce23ac3aa27e68ece5,f788f8d94c6b9914ed99002376f2e88474aa3654f79fbf3624656c25bd4ef5b5,2f40d0987604639945509b844a1f7fe1d0f7490415143673d149f8029ae6f622,3ca12e6b6eeb29fc0ddd441b9c44c80d7a160faaf7e832eb55007f4c6a3ab52b,4ede5c17ed7f6c27d752530849995d987175465e
pretrained-mlp-tasks01-seed314159-parity,pretrained,mlp,mlp-tasks01-seed314159,1,314159,parity,5,test_shard_099,5000,10000,6.9722916282653813,0.53610000000000002,0.0722,7.6323518035888673,0.53420000000000001,0.068400000000000002,0.66006017532348604,0.0019000000000000128,0.0037999999999999978,fc1e0c4d5b0d743c07894ac360d23c274b5be706a12b34ada3ae65a696df6867,f788f8d94c6b9914ed99002376f2e88474aa3654f79fbf3624656c25bd4ef5b5,2f40d0987604639945509b844a1f7fe1d0f7490415143673d149f8029ae6f622,3ca12e6b6eeb29fc0ddd441b9c44c80d7a160faaf7e832eb55007f4c6a3ab52b,4ede5c17ed7f6c27d752530849995d987175465e
pretrained-mlp-tasks01-seed314159-to_lehmer,pretrained,mlp,mlp-tasks01-seed314159,1,314159,to_lehmer,5,test_shard_099,5000,171258,10.004990150237735,0.011999439442245035,0,14.540510031602539,0.0082390311693468343,0,4.5355198813648041,0.0037604082728982004,0,485ef225f380c94ec83a0cf8a848b618cf205092578525c04a9a997758de13cd,f788f8d94c6b9914ed99002376f2e88474aa3654f79fbf3624656c25bd4ef5b5,2f40d0987604639945509b844a1f7fe1d0f7490415143673d149f8029ae6f622,3ca12e6b6eeb29fc0ddd441b9c44c80d7a160faaf7e832eb55007f4c6a3ab52b,4ede5c17ed7f6c27d752530849995d987175465e
pretrained-mlp-tasks02-seed17-to_reduced_word,pretrained,mlp,mlp-tasks02-seed17,2,17,to_reduced_word,5,test_shard_099,5000,790719,7.6633814409041801,0.025279524078718231,0,12.136927247938269,0.009806264931031124,0,4.473545807034089,0.015473259147687107,0,99da876ee5789a72d8f107988d0624be24dce3bbf358fdcd66ef9bf5588b1356,f788f8d94c6b9914ed99002376f2e88474aa3654f79fbf3624656c25bd4ef5b5,2f40d0987604639945509b844a1f7fe1d0f7490415143673d149f8029ae6f622,3ca12e6b6eeb29fc0ddd441b9c44c80d7a160faaf7e832eb55007f4c6a3ab52b,4ede5c17ed7f6c27d752530849995d987175465e
pretrained-mlp-tasks02-seed17-compose,pretrained,mlp,mlp-tasks02-seed17,2,17,compose,5,test_shard_099,5000,169758,8.5360829684527015,0.019474781748135581,0,12.687202293347369,0.012547273177110947,0,4.1511193248946672,0.0069275085710246345,0,3e5c6156d765f440be493f4a475d14230c36f37c9209f8e4e7560b175499602c,f788f8d94c6b9914ed99002376f2e88474aa3654f79fbf3624656c25bd4ef5b5,2f40d0987604639945509b844a1f7fe1d0f7490415143673d149f8029ae6f622,3ca12e6b6eeb29fc0ddd441b9c44c80d7a160faaf7e832eb55007f4c6a3ab52b,4ede5c17ed7f6c27d752530849995d987175465e
pretrained-mlp-tasks02-seed17-parity,pretrained,mlp,mlp-tasks02-seed17,2,17,parity,5,test_shard_099,5000,10000,5.2705743770599369,0.53149999999999997,0.063,5.9283924346923831,0.53010000000000002,0.060199999999999997,0.65781805763244616,0.0013999999999999568,0.0028000000000000039,f1ca00fe60c0f0eccc6a3857257593f33b7726e60106f02529bfaa01ff611ea4,f788f8d94c6b9914ed99002376f2e88474aa3654f79fbf3624656c25bd4ef5b5,2f40d0987604639945509b844a1f7fe1d0f7490415143673d149f8029ae6f622,3ca12e6b6eeb29fc0ddd441b9c44c80d7a160faaf7e832eb55007f4c6a3ab52b,4ede5c17ed7f6c27d752530849995d987175465e
pretrained-mlp-tasks02-seed17-to_lehmer,pretrained,mlp,mlp-tasks02-seed17,2,17,to_lehmer,5,test_shard_099,5000,171258,9.6033305629335572,0.010954232794964323,0,15.221221291943296,0.0081456048768524681,0,5.6178907290097388,0.0028086279181118549,0,951f2a2b8d127f00451ec933879980725f5a330d700ae4d6df376b6dba83c3ec,f788f8d94c6b9914ed99002376f2e88474aa3654f79fbf3624656c25bd4ef5b5,2f40d0987604639945509b844a1f7fe1d0f7490415143673d149f8029ae6f622,3ca12e6b6eeb29fc0ddd441b9c44c80d7a160faaf7e832eb55007f4c6a3ab52b,4ede5c17ed7f6c27d752530849995d987175465e
pretrained-mlp-tasks02-seed42-to_reduced_word,pretrained,mlp,mlp-tasks02-seed42,2,42,to_reduced_word,5,test_shard_099,5000,790719,7.2283140617609574,0.022114050629869778,0,13.36585584014359,0.0083607450940220238,0,6.1375417783826327,0.013753305535847754,0,637202d6ce7b6067684237f96cc7c934bc5438b544c087e7c083cd223bf611b9,f788f8d94c6b9914ed99002376f2e88474aa3654f79fbf3624656c25bd4ef5b5,2f40d0987604639945509b844a1f7fe1d0f7490415143673d149f8029ae6f622,3ca12e6b6eeb29fc0ddd441b9c44c80d7a160faaf7e832eb55007f4c6a3ab52b,4ede5c17ed7f6c27d752530849995d987175465e
pretrained-mlp-tasks02-seed42-compose,pretrained,mlp,mlp-tasks02-seed42,2,42,compose,5,test_shard_099,5000,169758,8.1923251879605825,0.019433546578069959,0,13.616775769588179,0.0085592431579071381,0,5.4244505816275961,0.010874303420162821,0,b5636416d40bb233c79a4b466172940f01666aa0f6a2d3200065945ac1b555ba,f788f8d94c6b9914ed99002376f2e88474aa3654f79fbf3624656c25bd4ef5b5,2f40d0987604639945509b844a1f7fe1d0f7490415143673d149f8029ae6f622,3ca12e6b6eeb29fc0ddd441b9c44c80d7a160faaf7e832eb55007f4c6a3ab52b,4ede5c17ed7f6c27d752530849995d987175465e
pretrained-mlp-tasks02-seed42-parity,pretrained,mlp,mlp-tasks02-seed42,2,42,parity,5,test_shard_099,5000,10000,5.1944237949371335,0.52869999999999995,0.0574,5.8492719604492187,0.52729999999999999,0.054600000000000003,0.65484816551208525,0.0013999999999999568,0.0027999999999999969,eda0c5c7dcd2e325518dffe9fbb1fd4818c429bbb3eb3620007dddcd44479062,f788f8d94c6b9914ed99002376f2e88474aa3654f79fbf3624656c25bd4ef5b5,2f40d0987604639945509b844a1f7fe1d0f7490415143673d149f8029ae6f622,3ca12e6b6eeb29fc0ddd441b9c44c80d7a160faaf7e832eb55007f4c6a3ab52b,4ede5c17ed7f6c27d752530849995d987175465e
pretrained-mlp-tasks02-seed42-to_lehmer,pretrained,mlp,mlp-tasks02-seed42,2,42,to_lehmer,5,test_shard_099,5000,171258,9.7126689613701434,0.024384262341029323,0,15.808000615071633,0.0066274276238190329,0,6.0953316537014892,0.01775683471721029,0,826a82e9f895577291d97f927f9ab49eb65a9118bb9877e5968c7ac0d3a9b79d,f788f8d94c6b9914ed99002376f2e88474aa3654f79fbf3624656c25bd4ef5b5,2f40d0987604639945509b844a1f7fe1d0f7490415143673d149f8029ae6f622,3ca12e6b6eeb29fc0ddd441b9c44c80d7a160faaf7e832eb55007f4c6a3ab52b,4ede5c17ed7f6c27d752530849995d987175465e
pretrained-mlp-tasks02-seed314159-to_reduced_word,pretrained,mlp,mlp-tasks02-seed314159,2,314159,to_reduced_word,5,test_shard_099,5000,790719,7.4952435287041759,0.022857677632635614,0,10.653745999289887,0.023680978957126363,0,3.1585024705857112,-0.00082330132449074875,0,7244074c6f91c9a2d9286e1616803d34b7fa78742cd8745ba15123fce4407e71,f788f8d94c6b9914ed99002376f2e88474aa3654f79fbf3624656c25bd4ef5b5,2f40d0987604639945509b844a1f7fe1d0f7490415143673d149f8029ae6f622,3ca12e6b6eeb29fc0ddd441b9c44c80d7a160faaf7e832eb55007f4c6a3ab52b,4ede5c17ed7f6c27d752530849995d987175465e
pretrained-mlp-tasks02-seed314159-compose,pretrained,mlp,mlp-tasks02-seed314159,2,314159,compose,5,test_shard_099,5000,169758,7.9665957514359595,0.023586517277536259,0,11.165272396726149,0.022532075071572472,0,3.1986766452901891,0.0010544422059637869,0,a4c625323e1c0e7fe5a04a60153833de6c6aef3a0746063f8d568966a8b093f0,f788f8d94c6b9914ed99002376f2e88474aa3654f79fbf3624656c25bd4ef5b5,2f40d0987604639945509b844a1f7fe1d0f7490415143673d149f8029ae6f622,3ca12e6b6eeb29fc0ddd441b9c44c80d7a160faaf7e832eb55007f4c6a3ab52b,4ede5c17ed7f6c27d752530849995d987175465e
pretrained-mlp-tasks02-seed314159-parity,pretrained,mlp,mlp-tasks02-seed314159,2,314159,parity,5,test_shard_099,5000,10000,5.5490309127807613,0.53610000000000002,0.0722,5.975612942504883,0.52590000000000003,0.051799999999999999,0.42658202972412163,0.010199999999999987,0.020400000000000001,0bf8f69a19757f9e98091f30bf8a23cbc19290e279f41a0f6f48f8debd02a9e2,f788f8d94c6b9914ed99002376f2e88474aa3654f79fbf3624656c25bd4ef5b5,2f40d0987604639945509b844a1f7fe1d0f7490415143673d149f8029ae6f622,3ca12e6b6eeb29fc0ddd441b9c44c80d7a160faaf7e832eb55007f4c6a3ab52b,4ede5c17ed7f6c27d752530849995d987175465e
pretrained-mlp-tasks02-seed314159-to_lehmer,pretrained,mlp,mlp-tasks02-seed314159,2,314159,to_lehmer,5,test_shard_099,5000,171258,8.5855568551450876,0.024209088042602391,0,13.430301448280883,0.0091207418047624059,0,4.8447445931357951,0.015088346237839985,0,6350f2615ab58576bf31e3ff461f0da772773bb0fd77d3d47526ddf7ddf91661,f788f8d94c6b9914ed99002376f2e88474aa3654f79fbf3624656c25bd4ef5b5,2f40d0987604639945509b844a1f7fe1d0f7490415143673d149f8029ae6f622,3ca12e6b6eeb29fc0ddd441b9c44c80d7a160faaf7e832eb55007f4c6a3ab52b,4ede5c17ed7f6c27d752530849995d987175465e
